karte,tag_a,tag_b,basislaenge_klasse,d_ref_m,d_karte_m,fehler_mm,rel_fehler_ppm
Kartierung Versuch 3,0,1,0-1 m,0.240000,0.241954,1.9535,8139.70
Kartierung Versuch 3,0,2,0-1 m,0.339411,0.341515,2.1036,6197.92
Kartierung Versuch 3,0,3,0-1 m,0.339411,0.343339,3.9276,11571.73
Kartierung Versuch 3,0,4,0-1 m,0.480000,0.484210,4.2101,8771.10
Kartierung Versuch 3,0,5,0-1 m,0.536656,0.540010,3.3539,6249.54
Kartierung Versuch 3,0,6,0-1 m,0.240000,0.241992,1.9915,8297.99
Kartierung Versuch 3,0,7,0-1 m,0.536656,0.542948,6.2917,11723.83
Kartierung Versuch 3,0,8,0-1 m,0.240000,0.242189,2.1893,9122.12
Kartierung Versuch 3,0,9,0-1 m,0.720000,0.726314,6.3138,8769.22
Kartierung Versuch 3,0,10,0-1 m,0.240000,0.242114,2.1138,8807.40
Kartierung Versuch 3,0,11,0-1 m,0.536656,0.539209,2.5531,4757.35
Kartierung Versuch 3,0,12,0-1 m,0.536656,0.542676,6.0199,11217.43
Kartierung Versuch 3,0,13,0-1 m,0.758947,0.763948,5.0010,6589.42
Kartierung Versuch 3,0,14,0-1 m,0.339411,0.342733,3.3222,9787.98
Kartierung Versuch 3,0,15,0-1 m,0.758947,0.767346,8.3994,11067.19
Kartierung Versuch 3,0,16,0-1 m,0.339411,0.341640,2.2284,6565.36
Kartierung Versuch 3,0,17,0-1 m,0.678823,0.681675,2.8525,4202.10
Kartierung Versuch 3,0,18,0-1 m,0.480000,0.483290,3.2903,6854.78
Kartierung Versuch 3,0,19,0-1 m,0.678823,0.687167,8.3441,12292.01
Kartierung Versuch 3,0,20,0-1 m,0.480000,0.484747,4.7468,9889.16
Kartierung Versuch 3,0,21,0-1 m,0.865332,0.868940,3.6079,4169.36
Kartierung Versuch 3,0,22,0-1 m,0.536656,0.541291,4.6347,8636.34
Kartierung Versuch 3,0,23,0-1 m,0.865332,0.875263,9.9305,11475.92
Kartierung Versuch 3,0,24,0-1 m,0.536656,0.540659,4.0025,7458.15
Kartierung Versuch 3,0,25,0-1 m,0.960000,0.968040,8.0405,8375.52
Kartierung Versuch 3,0,26,0-1 m,0.480000,0.483362,3.3624,7005.07
Kartierung Versuch 3,0,27,0-1 m,0.989545,0.996633,7.0875,7162.38
Kartierung Versuch 3,0,28,0-1 m,0.989545,0.999628,10.0822,10188.77
Kartierung Versuch 3,0,29,0-1 m,0.536656,0.541382,4.7257,8805.76
Kartierung Versuch 3,0,30,0-1 m,0.536656,0.539818,3.1617,5891.39
Kartierung Versuch 3,0,31,1-2 m,1.073313,1.078579,5.2661,4906.44
Kartierung Versuch 3,0,32,1-2 m,1.073313,1.084758,11.4453,10663.57
Kartierung Versuch 3,0,33,0-1 m,0.678823,0.684607,5.7843,8521.06
Kartierung Versuch 3,0,34,0-1 m,0.678823,0.682513,3.6901,5436.08
Kartierung Versuch 3,0,35,1-2 m,1.223765,1.233427,9.6621,7895.39
Kartierung Versuch 3,0,36,1-2 m,1.440000,1.451175,11.1753,7760.60
Kartierung Versuch 3,0,37,1-2 m,1.223765,1.231164,7.3991,6046.20
Kartierung Versuch 3,0,38,0-1 m,0.960000,0.965697,5.6966,5933.92
Kartierung Versuch 3,0,39,1-2 m,1.464787,1.472202,7.4152,5062.34
Kartierung Versuch 3,0,40,1-2 m,1.252837,1.265273,12.4359,9926.21
Kartierung Versuch 3,0,41,1-2 m,1.464787,1.478264,13.4770,9200.68
Kartierung Versuch 3,0,42,1-2 m,1.252837,1.255916,3.0794,2457.93
Kartierung Versuch 3,0,43,1-2 m,1.560000,1.568888,8.8885,5697.75
Kartierung Versuch 3,0,44,1-2 m,1.815930,1.831273,15.3435,8449.41
Kartierung Versuch 3,0,45,2-3 m,2.040000,2.055442,15.4423,7569.76
Kartierung Versuch 3,0,46,1-2 m,1.815930,1.826811,10.8814,5992.20
Kartierung Versuch 3,0,47,1-2 m,1.986353,1.998936,12.5821,6334.27
Kartierung Versuch 3,0,48,1-2 m,1.835647,1.851774,16.1272,8785.57
Kartierung Versuch 3,0,49,1-2 m,1.986353,2.000919,14.5656,7332.86
Kartierung Versuch 3,0,50,1-2 m,1.835647,1.845770,10.1228,5514.56
Kartierung Versuch 3,0,51,2-3 m,2.640000,2.659841,19.8411,7515.55
Kartierung Versuch 3,0,52,2-3 m,2.160000,2.171400,11.3996,5277.58
Kartierung Versuch 3,0,53,2-3 m,2.305125,2.321512,16.3870,7108.92
Kartierung Versuch 3,0,54,2-3 m,2.040000,2.052151,12.1515,5956.59
Kartierung Versuch 3,0,55,1-2 m,1.874460,1.890723,16.2632,8676.22
Kartierung Versuch 3,0,56,1-2 m,1.536750,1.540650,3.9004,2538.11
Kartierung Versuch 3,0,57,1-2 m,1.874460,1.883823,9.3635,4995.32
Kartierung Versuch 3,0,58,1-2 m,1.536750,1.551074,14.3238,9320.83
Kartierung Versuch 3,0,59,2-3 m,2.305125,2.318678,13.5532,5879.61
Kartierung Versuch 3,0,60,2-3 m,2.040000,2.056871,16.8708,8270.02
Kartierung Versuch 3,0,61,1-2 m,1.517893,1.526475,8.5814,5653.49
Kartierung Versuch 3,0,62,1-2 m,1.517893,1.532614,14.7203,9697.82
Kartierung Versuch 3,0,63,2-3 m,2.095710,2.108696,12.9860,6196.45
Kartierung Versuch 3,0,64,2-3 m,2.095710,2.112828,17.1177,8167.99
Kartierung Versuch 3,0,65,1-2 m,1.073313,1.081089,7.7764,7245.21
Kartierung Versuch 3,0,66,1-2 m,1.073313,1.078487,5.1747,4821.22
Kartierung Versuch 3,0,67,1-2 m,1.632176,1.641964,9.7879,5996.83
Kartierung Versuch 3,0,68,1-2 m,1.632176,1.642180,10.0039,6129.16
Kartierung Versuch 3,0,100,1-2 m,1.884038,1.900634,16.5954,8808.41
Kartierung Versuch 3,0,101,1-2 m,1.594240,1.608050,13.8102,8662.54
Kartierung Versuch 3,0,102,1-2 m,1.501200,1.509019,7.8198,5209.04
Kartierung Versuch 3,0,103,1-2 m,1.638780,1.643845,5.0647,3090.51
Kartierung Versuch 3,0,104,1-2 m,1.452446,1.467245,14.7985,10188.69
Kartierung Versuch 3,0,105,1-2 m,1.076151,1.086678,10.5272,9782.28
Kartierung Versuch 3,0,106,0-1 m,0.906697,0.909307,2.6097,2878.28
Kartierung Versuch 3,0,107,1-2 m,1.116065,1.116455,0.3904,349.78
Kartierung Versuch 3,0,108,2-3 m,2.359152,2.377807,18.6550,7907.52
Kartierung Versuch 3,0,109,1-2 m,1.765673,1.780683,15.0103,8501.16
Kartierung Versuch 3,0,110,1-2 m,1.295222,1.302170,6.9480,5364.33
Kartierung Versuch 3,0,111,1-2 m,1.884038,1.893398,9.3603,4968.19
Kartierung Versuch 3,0,112,2-3 m,2.359152,2.375131,15.9784,6772.94
Kartierung Versuch 3,0,113,1-2 m,1.765673,1.777228,11.5549,6544.17
Kartierung Versuch 3,0,114,1-2 m,1.295222,1.303458,8.2360,6358.79
Kartierung Versuch 3,0,115,1-2 m,1.884038,1.894821,10.7828,5723.24
Kartierung Versuch 3,0,116,1-2 m,1.452446,1.459041,6.5951,4540.72
Kartierung Versuch 3,0,117,1-2 m,1.076151,1.080914,4.7637,4426.57
Kartierung Versuch 3,0,118,0-1 m,0.906697,0.915250,8.5526,9432.66
Kartierung Versuch 3,0,119,1-2 m,1.116065,1.127254,11.1898,10026.16
Kartierung Versuch 3,0,120,1-2 m,1.884038,1.894896,10.8578,5763.05
Kartierung Versuch 3,0,121,1-2 m,1.594240,1.605210,10.9699,6880.98
Kartierung Versuch 3,0,122,1-2 m,1.501200,1.514737,13.5379,9018.03
Kartierung Versuch 3,0,123,1-2 m,1.638780,1.654321,15.5406,9483.04
Kartierung Versuch 3,0,200,2-3 m,2.465568,2.486660,21.0924,8554.77
Kartierung Versuch 3,0,202,2-3 m,2.465568,2.479306,13.7382,5572.04
Kartierung Versuch 3,0,203,2-3 m,2.073216,2.086835,13.6193,6569.15
Kartierung Versuch 3,1,2,0-1 m,0.240000,0.242196,2.1961,9150.42
Kartierung Versuch 3,1,3,0-1 m,0.240000,0.242287,2.2868,9528.52
Kartierung Versuch 3,1,4,0-1 m,0.240000,0.242257,2.2570,9404.04
Kartierung Versuch 3,1,5,0-1 m,0.339411,0.341274,1.8625,5487.49
Kartierung Versuch 3,1,6,0-1 m,0.339411,0.343226,3.8145,11238.70
Kartierung Versuch 3,1,7,0-1 m,0.339411,0.344043,4.6321,13647.43
Kartierung Versuch 3,1,8,0-1 m,0.339411,0.341346,1.9347,5700.06
Kartierung Versuch 3,1,9,0-1 m,0.480000,0.484360,4.3605,9084.31
Kartierung Versuch 3,1,10,0-1 m,0.480000,0.484067,4.0671,8473.12
Kartierung Versuch 3,1,11,0-1 m,0.480000,0.483536,3.5364,7367.51
Kartierung Versuch 3,1,12,0-1 m,0.480000,0.484544,4.5445,9467.62
Kartierung Versuch 3,1,13,0-1 m,0.536656,0.539871,3.2150,5990.72
Kartierung Versuch 3,1,14,0-1 m,0.536656,0.542000,5.3439,9957.68
Kartierung Versuch 3,1,15,0-1 m,0.536656,0.543301,6.6447,12381.61
Kartierung Versuch 3,1,16,0-1 m,0.536656,0.540144,3.4876,6498.78
Kartierung Versuch 3,1,17,0-1 m,0.536656,0.539164,2.5081,4673.56
Kartierung Versuch 3,1,18,0-1 m,0.536656,0.541995,5.3387,9948.12
Kartierung Versuch 3,1,19,0-1 m,0.536656,0.543348,6.6914,12468.66
Kartierung Versuch 3,1,20,0-1 m,0.536656,0.540610,3.9534,7366.74
Kartierung Versuch 3,1,21,0-1 m,0.678823,0.681375,2.5525,3760.13
Kartierung Versuch 3,1,22,0-1 m,0.678823,0.685571,6.7482,9941.10
Kartierung Versuch 3,1,23,0-1 m,0.678823,0.687084,8.2613,12169.98
Kartierung Versuch 3,1,24,0-1 m,0.678823,0.683153,4.3306,6379.52
Kartierung Versuch 3,1,25,0-1 m,0.720000,0.726087,6.0870,8454.13
Kartierung Versuch 3,1,26,0-1 m,0.720000,0.725316,5.3156,7382.80
Kartierung Versuch 3,1,27,0-1 m,0.758947,0.764181,5.2343,6896.81
Kartierung Versuch 3,1,28,0-1 m,0.758947,0.767196,8.2496,10869.84
Kartierung Versuch 3,1,29,0-1 m,0.758947,0.765684,6.7375,8877.43
Kartierung Versuch 3,1,30,0-1 m,0.758947,0.763721,4.7744,6290.89
Kartierung Versuch 3,1,31,0-1 m,0.865332,0.869150,3.8174,4411.49
Kartierung Versuch 3,1,32,0-1 m,0.865332,0.875105,9.7725,11293.41
Kartierung Versuch 3,1,33,0-1 m,0.865332,0.873118,7.7860,8997.67
Kartierung Versuch 3,1,34,0-1 m,0.865332,0.870036,4.7037,5435.76
Kartierung Versuch 3,1,35,1-2 m,1.200000,1.211625,11.6246,9687.20
Kartierung Versuch 3,1,36,1-2 m,1.200000,1.209222,9.2217,7684.78
Kartierung Versuch 3,1,37,1-2 m,1.200000,1.205220,5.2205,4350.40
Kartierung Versuch 3,1,38,1-2 m,1.200000,1.207650,7.6496,6374.66
Kartierung Versuch 3,1,39,1-2 m,1.341641,1.349461,7.8207,5829.17
Kartierung Versuch 3,1,40,1-2 m,1.341641,1.356194,14.5529,10847.08
Kartierung Versuch 3,1,41,1-2 m,1.341641,1.352804,11.1627,8320.20
Kartierung Versuch 3,1,42,1-2 m,1.341641,1.344105,2.4645,1836.93
Kartierung Versuch 3,1,43,1-2 m,1.800000,1.810842,10.8416,6023.08
Kartierung Versuch 3,1,44,1-2 m,1.800000,1.816875,16.8748,9374.89
Kartierung Versuch 3,1,45,1-2 m,1.800000,1.813489,13.4890,7493.88
Kartierung Versuch 3,1,46,1-2 m,1.800000,1.808608,8.6076,4782.02
Kartierung Versuch 3,1,47,1-2 m,1.897367,1.910481,13.1146,6912.01
Kartierung Versuch 3,1,48,1-2 m,1.897367,1.915282,17.9157,9442.38
Kartierung Versuch 3,1,49,1-2 m,1.897367,1.909641,12.2742,6469.07
Kartierung Versuch 3,1,50,1-2 m,1.897367,1.906289,8.9221,4702.37
Kartierung Versuch 3,1,51,2-3 m,2.400000,2.417888,17.8880,7453.31
Kartierung Versuch 3,1,52,2-3 m,2.400000,2.413353,13.3530,5563.75
Kartierung Versuch 3,1,53,2-3 m,2.163331,2.177490,14.1588,6544.89
Kartierung Versuch 3,1,54,2-3 m,2.163331,2.175346,12.0153,5554.10
Kartierung Versuch 3,1,55,1-2 m,1.697056,1.711242,14.1859,8359.11
Kartierung Versuch 3,1,56,1-2 m,1.697056,1.701776,4.7202,2781.42
Kartierung Versuch 3,1,57,1-2 m,1.697056,1.705785,8.7285,5143.34
Kartierung Versuch 3,1,58,1-2 m,1.697056,1.713293,16.2370,9567.76
Kartierung Versuch 3,1,59,2-3 m,2.163331,2.176707,13.3761,6183.08
Kartierung Versuch 3,1,60,2-3 m,2.163331,2.181888,18.5574,8578.17
Kartierung Versuch 3,1,61,1-2 m,1.292440,1.299280,6.8407,5292.83
Kartierung Versuch 3,1,62,1-2 m,1.292440,1.305343,12.9037,9984.00
Kartierung Versuch 3,1,63,1-2 m,1.862901,1.874125,11.2243,6025.19
Kartierung Versuch 3,1,64,1-2 m,1.862901,1.878048,15.1470,8130.88
Kartierung Versuch 3,1,65,1-2 m,1.292440,1.302256,9.8162,7595.09
Kartierung Versuch 3,1,66,1-2 m,1.292440,1.299149,6.7097,5191.52
Kartierung Versuch 3,1,67,1-2 m,1.862901,1.874702,11.8009,6334.71
Kartierung Versuch 3,1,68,1-2 m,1.862901,1.874659,11.7585,6311.93
Kartierung Versuch 3,1,100,1-2 m,1.749286,1.763647,14.3611,8209.70
Kartierung Versuch 3,1,101,1-2 m,1.529706,1.541057,11.3512,7420.53
Kartierung Versuch 3,1,102,1-2 m,1.529706,1.535715,6.0096,3928.58
Kartierung Versuch 3,1,103,1-2 m,1.749286,1.754126,4.8400,2766.82
Kartierung Versuch 3,1,104,1-2 m,1.272792,1.285427,12.6351,9927.09
Kartierung Versuch 3,1,105,0-1 m,0.965660,0.973624,7.9632,8246.37
Kartierung Versuch 3,1,106,0-1 m,0.965660,0.967117,1.4571,1508.87
Kartierung Versuch 3,1,107,1-2 m,1.272792,1.274012,1.2200,958.52
Kartierung Versuch 3,1,108,2-3 m,2.121320,2.138001,16.6803,7863.16
Kartierung Versuch 3,1,109,1-2 m,1.529706,1.542796,13.0899,8557.15
Kartierung Versuch 3,1,110,1-2 m,1.529706,1.538436,8.7300,5706.95
Kartierung Versuch 3,1,111,2-3 m,2.121320,2.132581,11.2604,5308.22
Kartierung Versuch 3,1,112,2-3 m,2.121320,2.135429,14.1087,6650.92
Kartierung Versuch 3,1,113,1-2 m,1.529706,1.539388,9.6824,6329.59
Kartierung Versuch 3,1,114,1-2 m,1.529706,1.539974,10.2681,6712.44
Kartierung Versuch 3,1,115,2-3 m,2.121320,2.134089,12.7688,6019.27
Kartierung Versuch 3,1,116,1-2 m,1.272792,1.278645,5.8532,4598.71
Kartierung Versuch 3,1,117,0-1 m,0.965660,0.971301,5.6407,5841.26
Kartierung Versuch 3,1,118,0-1 m,0.965660,0.976491,10.8304,11215.51
Kartierung Versuch 3,1,119,1-2 m,1.272792,1.286073,13.2809,10434.48
Kartierung Versuch 3,1,120,1-2 m,1.749286,1.760096,10.8107,6180.04
Kartierung Versuch 3,1,121,1-2 m,1.529706,1.541906,12.2000,7975.40
Kartierung Versuch 3,1,122,1-2 m,1.529706,1.545185,15.4790,10118.93
Kartierung Versuch 3,1,123,1-2 m,1.749286,1.766698,17.4121,9953.86
Kartierung Versuch 3,1,200,2-3 m,2.265177,2.283875,18.6987,8254.84
Kartierung Versuch 3,1,202,2-3 m,2.265177,2.277566,12.3898,5469.68
Kartierung Versuch 3,1,203,2-3 m,2.265177,2.280895,15.7189,6939.36
Kartierung Versuch 3,2,3,0-1 m,0.480000,0.484483,4.4829,9339.43
Kartierung Versuch 3,2,4,0-1 m,0.339411,0.343813,4.4013,12967.49
Kartierung Versuch 3,2,5,0-1 m,0.240000,0.242133,2.1333,8888.56
Kartierung Versuch 3,2,6,0-1 m,0.240000,0.242232,2.2316,9298.24
Kartierung Versuch 3,2,7,0-1 m,0.536656,0.543390,6.7341,12548.23
Kartierung Versuch 3,2,8,0-1 m,0.536656,0.540299,3.6422,6786.89
Kartierung Versuch 3,2,9,0-1 m,0.536656,0.542888,6.2319,11612.47
Kartierung Versuch 3,2,10,0-1 m,0.536656,0.540425,3.7691,7023.31
Kartierung Versuch 3,2,11,0-1 m,0.240000,0.241341,1.3413,5588.65
Kartierung Versuch 3,2,12,0-1 m,0.720000,0.726741,6.7406,9361.89
Kartierung Versuch 3,2,13,0-1 m,0.480000,0.483939,3.9394,8207.12
Kartierung Versuch 3,2,14,0-1 m,0.480000,0.484126,4.1257,8595.14
Kartierung Versuch 3,2,15,0-1 m,0.678823,0.687579,8.7569,12900.12
Kartierung Versuch 3,2,16,0-1 m,0.678823,0.683154,4.3320,6381.61
Kartierung Versuch 3,2,17,0-1 m,0.339411,0.340160,0.7488,2206.31
Kartierung Versuch 3,2,18,0-1 m,0.339411,0.343144,3.7331,10998.76
Kartierung Versuch 3,2,19,0-1 m,0.758947,0.767750,8.8037,11599.84
Kartierung Versuch 3,2,20,0-1 m,0.758947,0.764956,6.0091,7917.72
Kartierung Versuch 3,2,21,0-1 m,0.536656,0.538308,1.6515,3077.36
Kartierung Versuch 3,2,22,0-1 m,0.536656,0.541922,5.2660,9812.61
Kartierung Versuch 3,2,23,0-1 m,0.865332,0.875707,10.3745,11989.06
Kartierung Versuch 3,2,24,0-1 m,0.865332,0.871231,5.8985,6816.49
Kartierung Versuch 3,2,25,0-1 m,0.758947,0.766585,7.6385,10064.67
Kartierung Versuch 3,2,26,0-1 m,0.758947,0.763886,4.9391,6507.83
Kartierung Versuch 3,2,27,0-1 m,0.720000,0.726030,6.0300,8375.00
Kartierung Versuch 3,2,28,0-1 m,0.865332,0.875616,10.2837,11884.16
Kartierung Versuch 3,2,29,0-1 m,0.720000,0.725660,5.6597,7860.74
Kartierung Versuch 3,2,30,0-1 m,0.865332,0.870519,5.1863,5993.44
Kartierung Versuch 3,2,31,0-1 m,0.758947,0.762479,3.5325,4654.47
Kartierung Versuch 3,2,32,1-2 m,1.018234,1.030197,11.9629,11748.70
Kartierung Versuch 3,2,33,0-1 m,0.758947,0.765282,6.3350,8347.09
Kartierung Versuch 3,2,34,1-2 m,1.018234,1.024027,5.7936,5689.89
Kartierung Versuch 3,2,35,0-1 m,0.960000,0.969431,9.4311,9824.02
Kartierung Versuch 3,2,36,1-2 m,1.223765,1.234432,10.6674,8716.91
Kartierung Versuch 3,2,37,1-2 m,1.440000,1.447416,7.4156,5149.70
Kartierung Versuch 3,2,38,1-2 m,1.223765,1.230978,7.2137,5894.70
Kartierung Versuch 3,2,39,1-2 m,1.132078,1.137692,5.6144,4959.40
Kartierung Versuch 3,2,40,1-2 m,1.132078,1.144824,12.7463,11259.21
Kartierung Versuch 3,2,41,1-2 m,1.560000,1.572996,12.9956,8330.48
Kartierung Versuch 3,2,42,1-2 m,1.560000,1.564521,4.5210,2898.06
Kartierung Versuch 3,2,43,1-2 m,1.815930,1.826243,10.3138,5679.61
Kartierung Versuch 3,2,44,1-2 m,1.560000,1.574679,14.6793,9409.79
Kartierung Versuch 3,2,45,1-2 m,1.815930,1.830419,14.4896,7979.18
Kartierung Versuch 3,2,46,2-3 m,2.040000,2.050802,10.8021,5295.16
Kartierung Versuch 3,2,47,1-2 m,1.671407,1.682376,10.9690,6562.73
Kartierung Versuch 3,2,48,1-2 m,1.671407,1.687297,15.8907,9507.36
Kartierung Versuch 3,2,49,2-3 m,2.126405,2.140627,14.2213,6687.94
Kartierung Versuch 3,2,50,2-3 m,2.126405,2.137573,11.1672,5251.67
Kartierung Versuch 3,2,51,2-3 m,2.411970,2.430682,18.7114,7757.71
Kartierung Versuch 3,2,52,2-3 m,2.411970,2.424511,12.5404,5199.23
Kartierung Versuch 3,2,53,2-3 m,2.366770,2.382703,15.9332,6732.05
Kartierung Versuch 3,2,54,2-3 m,2.366770,2.380703,13.9333,5887.04
Kartierung Versuch 3,2,55,1-2 m,1.874460,1.890389,15.9292,8498.05
Kartierung Versuch 3,2,56,1-2 m,1.874460,1.880448,5.9880,3194.53
Kartierung Versuch 3,2,57,1-2 m,1.536750,1.543959,7.2093,4691.27
Kartierung Versuch 3,2,58,1-2 m,1.536750,1.551194,14.4445,9399.41
Kartierung Versuch 3,2,59,1-2 m,1.968146,1.979692,11.5458,5866.36
Kartierung Versuch 3,2,60,1-2 m,1.968146,1.984675,16.5283,8397.91
Kartierung Versuch 3,2,61,1-2 m,1.223765,1.230900,7.1351,5830.41
Kartierung Versuch 3,2,62,1-2 m,1.399428,1.414342,14.9134,10656.81
Kartierung Versuch 3,2,63,1-2 m,1.815930,1.827353,11.4233,6290.61
Kartierung Versuch 3,2,64,1-2 m,1.938659,1.955294,16.6352,8580.76
Kartierung Versuch 3,2,65,1-2 m,1.223765,1.232404,8.6397,7059.95
Kartierung Versuch 3,2,66,1-2 m,1.399428,1.406626,7.1978,5143.37
Kartierung Versuch 3,2,67,1-2 m,1.815930,1.826646,10.7160,5901.13
Kartierung Versuch 3,2,68,1-2 m,1.938659,1.950440,11.7805,6076.62
Kartierung Versuch 3,2,100,1-2 m,1.958979,1.975143,16.1636,8251.01
Kartierung Versuch 3,2,101,1-2 m,1.765673,1.779034,13.3616,7567.44
Kartierung Versuch 3,2,102,1-2 m,1.765673,1.773978,8.3049,4703.55
Kartierung Versuch 3,2,103,1-2 m,1.958979,1.965748,6.7683,3455.00
Kartierung Versuch 3,2,104,1-2 m,1.452446,1.466727,14.2805,9832.06
Kartierung Versuch 3,2,105,1-2 m,1.192518,1.202316,9.7979,8216.12
Kartierung Versuch 3,2,106,1-2 m,1.192518,1.196150,3.6319,3045.58
Kartierung Versuch 3,2,107,1-2 m,1.452446,1.454915,2.4684,1699.50
Kartierung Versuch 3,2,108,2-3 m,2.168317,2.186283,17.9660,8285.70
Kartierung Versuch 3,2,109,1-2 m,1.594240,1.609034,14.7947,9280.08
Kartierung Versuch 3,2,110,1-2 m,1.594240,1.603015,8.7758,5504.71
Kartierung Versuch 3,2,111,2-3 m,2.168317,2.179103,10.7861,4974.43
Kartierung Versuch 3,2,112,2-3 m,2.100857,2.115466,14.6091,6953.89
Kartierung Versuch 3,2,113,1-2 m,1.501200,1.511559,10.3590,6900.47
Kartierung Versuch 3,2,114,1-2 m,1.501200,1.510622,9.4225,6276.65
Kartierung Versuch 3,2,115,2-3 m,2.100857,2.112657,11.8002,5616.86
Kartierung Versuch 3,2,116,1-2 m,1.116065,1.120521,4.4568,3993.35
Kartierung Versuch 3,2,117,0-1 m,0.747061,0.750254,3.1931,4274.22
Kartierung Versuch 3,2,118,0-1 m,0.747061,0.756135,9.0738,12146.00
Kartierung Versuch 3,2,119,1-2 m,1.116065,1.127730,11.6651,10451.99
Kartierung Versuch 3,2,120,1-2 m,1.548419,1.557309,8.8908,5741.87
Kartierung Versuch 3,2,121,1-2 m,1.295222,1.305118,9.8959,7640.32
Kartierung Versuch 3,2,122,1-2 m,1.295222,1.308671,13.4490,10383.58
Kartierung Versuch 3,2,123,1-2 m,1.548419,1.563909,15.4900,10003.76
Kartierung Versuch 3,2,200,2-3 m,2.410939,2.430761,19.8229,8222.06
Kartierung Versuch 3,2,202,2-3 m,2.136498,2.148285,11.7867,5516.83
Kartierung Versuch 3,2,203,2-3 m,2.136498,2.150796,14.2981,6692.31
Kartierung Versuch 3,3,4,0-1 m,0.339411,0.341266,1.8546,5464.13
Kartierung Versuch 3,3,5,0-1 m,0.536656,0.540040,3.3841,6305.85
Kartierung Versuch 3,3,6,0-1 m,0.536656,0.542593,5.9363,11061.55
Kartierung Versuch 3,3,7,0-1 m,0.240000,0.242295,2.2954,9564.36
Kartierung Versuch 3,3,8,0-1 m,0.240000,0.241865,1.8647,7769.49
Kartierung Versuch 3,3,9,0-1 m,0.536656,0.540098,3.4418,6413.36
Kartierung Versuch 3,3,10,0-1 m,0.536656,0.542294,5.6372,10504.38
Kartierung Versuch 3,3,11,0-1 m,0.720000,0.725823,5.8231,8087.62
Kartierung Versuch 3,3,12,0-1 m,0.240000,0.242258,2.2577,9406.91
Kartierung Versuch 3,3,13,0-1 m,0.678823,0.682636,3.8137,5618.04
Kartierung Versuch 3,3,14,0-1 m,0.678823,0.686072,7.2494,10679.31
Kartierung Versuch 3,3,15,0-1 m,0.480000,0.484526,4.5264,9430.01
Kartierung Versuch 3,3,16,0-1 m,0.480000,0.484011,4.0113,8356.87
Kartierung Versuch 3,3,17,0-1 m,0.758947,0.763589,4.6425,6117.06
Kartierung Versuch 3,3,18,0-1 m,0.758947,0.766347,7.4006,9751.17
Kartierung Versuch 3,3,19,0-1 m,0.339411,0.343828,4.4166,13012.44
Kartierung Versuch 3,3,20,0-1 m,0.339411,0.341619,2.2075,6503.90
Kartierung Versuch 3,3,21,0-1 m,0.865332,0.869529,4.1965,4849.55
Kartierung Versuch 3,3,22,0-1 m,0.865332,0.874027,8.6943,10047.35
Kartierung Versuch 3,3,23,0-1 m,0.536656,0.542624,5.9682,11121.05
Kartierung Versuch 3,3,24,0-1 m,0.536656,0.540153,3.4965,6515.44
Kartierung Versuch 3,3,25,0-1 m,0.758947,0.764138,5.1909,6839.65
Kartierung Versuch 3,3,26,0-1 m,0.758947,0.765645,6.6988,8826.41
Kartierung Versuch 3,3,27,0-1 m,0.865332,0.870646,5.3134,6140.29
Kartierung Versuch 3,3,28,0-1 m,0.720000,0.726352,6.3519,8822.06
Kartierung Versuch 3,3,29,0-1 m,0.865332,0.873828,8.4955,9817.67
Kartierung Versuch 3,3,30,0-1 m,0.720000,0.725439,5.4392,7554.49
Kartierung Versuch 3,3,31,1-2 m,1.018234,1.023089,4.8551,4768.16
Kartierung Versuch 3,3,32,0-1 m,0.758947,0.766406,7.4595,9828.73
Kartierung Versuch 3,3,33,1-2 m,1.018234,1.027945,9.7116,9537.66
Kartierung Versuch 3,3,34,0-1 m,0.758947,0.763397,4.4499,5863.27
Kartierung Versuch 3,3,35,1-2 m,1.440000,1.453910,13.9103,9659.90
Kartierung Versuch 3,3,36,1-2 m,1.223765,1.231921,8.1559,6664.58
Kartierung Versuch 3,3,37,0-1 m,0.960000,0.962935,2.9346,3056.91
Kartierung Versuch 3,3,38,1-2 m,1.223765,1.232572,8.8072,7196.85
Kartierung Versuch 3,3,39,1-2 m,1.560000,1.570082,10.0825,6463.13
Kartierung Versuch 3,3,40,1-2 m,1.560000,1.576596,16.5961,10638.52
Kartierung Versuch 3,3,41,1-2 m,1.132078,1.141407,9.3290,8240.61
Kartierung Versuch 3,3,42,1-2 m,1.132078,1.132619,0.5418,478.55
Kartierung Versuch 3,3,43,1-2 m,1.815930,1.827842,11.9130,6560.25
Kartierung Versuch 3,3,44,2-3 m,2.040000,2.059161,19.1614,9392.86
Kartierung Versuch 3,3,45,1-2 m,1.815930,1.828632,12.7024,6995.01
Kartierung Versuch 3,3,46,1-2 m,1.560000,1.566322,6.3223,4052.75
Kartierung Versuch 3,3,47,2-3 m,2.126405,2.141730,15.3249,7206.93
Kartierung Versuch 3,3,48,2-3 m,2.126405,2.146510,20.1044,9454.62
Kartierung Versuch 3,3,49,1-2 m,1.671407,1.681676,10.2693,6144.09
Kartierung Versuch 3,3,50,1-2 m,1.671407,1.678053,6.6461,3976.34
Kartierung Versuch 3,3,51,2-3 m,2.411970,2.429161,17.1910,7127.37
Kartierung Versuch 3,3,52,2-3 m,2.411970,2.426591,14.6210,6061.86
Kartierung Versuch 3,3,53,1-2 m,1.968146,1.980489,12.3425,6271.11
