karte,kantenlaenge_m,n,dx_bias_mm,dx_mean_mm,dx_rms_mm,dx_max_mm,dx_max_signed_mm,dy_bias_mm,dy_mean_mm,dy_rms_mm,dy_max_mm,dy_max_signed_mm,dz_bias_mm,dz_mean_mm,dz_rms_mm,dz_max_mm,dz_max_signed_mm,d_xy_mean_mm,d_xy_rms_mm,d_xy_max_mm,d_xyz_mean_mm,d_xyz_rms_mm,d_xyz_max_mm,droll_bias_deg,droll_mean_deg,droll_rms_deg,droll_max_deg,droll_max_signed_deg,dpitch_bias_deg,dpitch_mean_deg,dpitch_rms_deg,dpitch_max_deg,dpitch_max_signed_deg,dyaw_bias_deg,dyaw_mean_deg,dyaw_rms_deg,dyaw_max_deg,dyaw_max_signed_deg,dangle_mean_deg,dangle_rms_deg,dangle_max_deg
Kartierung Versuch 3,0.120 m,1,-1.9522,1.9522,1.9522,1.9522,-1.9522,-0.8110,0.8110,0.8110,0.8110,-0.8110,-0.0000,0.0000,0.0000,0.0000,-0.0000,2.1139,2.1139,2.1139,2.1139,2.1139,2.1139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0511,0.0511,0.0511,0.0511,-0.0511,0.0511,0.0511,0.0511
Kartierung Versuch 3,0.170 m,68,-2.2598,6.1321,7.5035,19.8378,-19.8378,-0.4711,5.2968,6.7628,16.0528,16.0528,-0.0000,0.0002,0.0002,0.0006,-0.0006,8.7522,10.1014,20.2687,8.7522,10.1014,20.2687,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0591,0.0743,0.1022,0.3396,-0.3396,0.0743,0.1022,0.3396
Kartierung Versuch 3,0.300 m,24,-2.5732,8.1455,9.3800,17.8299,-17.8299,0.5612,6.7342,7.7412,13.2777,13.2777,0.0000,0.0001,0.0002,0.0006,0.0006,11.3217,12.1618,19.3749,11.3217,12.1618,19.3749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0449,0.0887,0.1072,0.2231,0.2231,0.0887,0.1072,0.2231
Kartierung Versuch 3,1.000 m,3,-7.6663,15.1527,15.6862,20.7388,-20.7388,1.8365,6.2174,6.3805,7.7689,7.7689,0.0000,0.0000,0.0000,0.0001,0.0001,16.5240,16.9342,21.7550,16.5240,16.9342,21.7550,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.1381,0.1381,0.1836,0.3019,0.3019,0.1381,0.1836,0.3019
